"","row","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"229","ACTG1",10463.8202263615,-0.9018600893678,0.44107665891775,-2.04467879025985,0.0408865359928663,0.457630535728719
"230","ACTG1P17",2.03124444502291,4.15721048836793,3.02216096536955,1.37557546934287,0.168953105665936,0.733864247337818
"231","ACTG1P20",12.7779021704198,1.69820037977848,1.38954672459576,1.22212542386619,0.221660200116748,0.776772160267167
"232","ACTG1P4",19.9312441527737,0.117818862919833,0.70860886958069,0.166267835441505,0.867946177288607,0.993969296185297
"233","ACTG2",556.67307901184,-0.0287425566792361,0.44185479266023,-0.0650497791507222,0.948134366120326,0.998286486714326
"234","ACTL10",42.3505969228478,-0.527560377823474,1.05898759272079,-0.498174276497469,0.618361211562637,0.963721363648662
"235","ACTL6A",143.502745137061,-0.376422361141113,0.336203171777664,-1.11962763215704,0.262872475372511,0.802166381495156
"237","ACTL7A",14.1349340919712,0.88554585985708,1.60703208579968,0.551044293192456,0.581603311499321,0.953636259158437
"238","ACTL7B",2.301363753314,1.50212869823525,3.10513515555465,0.483756301411923,0.628558831097577,0.964679135088174
"241","ACTN1",2278.46584501283,-0.34367437914201,0.389210811139997,-0.883003167705925,0.377234560011309,0.880502234672206
"242","ACTN1-AS1",1.62317092865556,3.83457879098712,3.1761211336595,1.20731503290271,0.227310843452526,0.779514360703297
"243","ACTN2",363.817245182855,-0.000805840222712433,2.36235531453916,-0.000341117281449101,0.999727827792987,0.999909246892857
"245","ACTN4",4201.50866599176,-0.460767650063567,0.213733848534377,-2.1558010264783,0.0310992053043046,0.410971951731383
"246","ACTR10",297.600965086703,-0.443669496871893,0.298925835972016,-1.48421261557809,0.137752524005272,0.692281867760178
"247","ACTR1A",576.888007790106,0.0713536297619216,0.235373568345403,0.303150563011444,0.76177512225045,0.981823517926168
"248","ACTR1B",340.35446794313,-0.539745907466036,0.307627124335665,-1.75454589263428,0.0793370134319691,0.57988684557307
"249","ACTR2",579.077597478483,0.780705700727917,0.381247653139841,2.04776526307312,0.0405830055672275,0.455903744434873
"250","ACTR3",1032.15161246994,0.608067495706983,0.372016385762456,1.63451804538323,0.10215012032511,0.631242459324116
"252","ACTR3B",14.802592202738,0.957340518934627,1.23844386971569,0.773018900852085,0.439511194854174,0.912115423004418
"255","ACTR3C",15.0681039914397,0.0818402515458608,0.982851138443505,0.0832682064910332,0.933638280020568,0.998286486714326
"256","ACTR5",70.5894803805086,0.817958280133125,0.746720856265778,1.09540034039439,0.273341285054981,0.808339536308249
"257","ACTR6",17.5707809544331,-0.155118017057424,1.09014025148434,-0.142291798551806,0.886849524419274,0.995602245962101
"258","ACTR8",196.177327136256,-0.23192561537225,0.444849755640919,-0.521357182804569,0.60211797300412,0.959761600714399
"259","ACTRT1",2.30203508277086,-0.789373188178715,3.0592946798116,-0.258024568011646,0.796387946518544,0.9869110600449
"260","ACTRT2",4.02659111678128,-2.92646189258961,3.05501516058131,-0.95792057936392,0.338102808328781,0.854463147339081
"262","ACVR1",183.855630310804,0.338438303831545,0.391147099611788,0.865245592176046,0.386904006301551,0.884025171359272
"263","ACVR1B",248.592996366423,0.413167675026505,0.288081215158287,1.43420554096,0.151513616308778,0.711290860781015
"264","ACVR1C",68.8271003701013,-0.346188716134324,0.711906085077922,-0.486284249272053,0.626765645034632,0.964679135088174
"265","ACVR2A",221.075757187178,0.357612332781262,0.298984306616496,1.1960906471254,0.231661187066341,0.784760169946712
"266","ACVR2B",167.655634956918,0.463195986716713,0.285477205354556,1.62253230040358,0.104689422838236,0.637034397265176
"267","ACVR2B-AS1",11.0849235437109,-1.5064638135581,1.14858370525986,-1.31158382855281,0.189660592332798,0.754886184316162
"268","ACVRL1",108.228252729865,-0.0862823293187716,0.48338227159765,-0.178497090995075,0.858332605562187,0.992838797600056
"271","ACYP1",26.667489225696,0.00473410498859117,1.33739033253933,0.00353980799278131,0.997175647752657,0.999909246892857
"272","ACYP2",29.5593291631981,-0.223540250501495,1.04581204940462,-0.213748015839708,0.830743565314864,0.992413923098632
"273","ADA",15.8615230983351,0.145682810821129,1.29949430159872,0.112107310237452,0.910738321236748,0.995975580100663
"275","ADAD1",4.88050571813126,0.168832391424371,2.58658074184009,0.0652724226595238,0.94795709903749,0.998286486714326
"276","ADAD2",5.19809317534078,0.686958837222961,2.18763722598287,0.314018626609502,0.753506891817505,0.981146392280131
"277","ADAL",68.3013631695411,0.0869446248733892,0.484702837500049,0.179377173283786,0.857641553765153,0.992838797600056
"278","ADAM10",625.495250585979,0.465298112328734,0.289050961092006,1.60974421455263,0.107453708196409,0.64117171983499
"279","ADAM11",37.6005762155057,0.347997110080333,0.54668465548154,0.636559132565747,0.524412052192571,0.939900360370979
"280","ADAM12",91.5796404509785,-0.293662231667048,0.747579900738845,-0.39281718432614,0.694454511587099,0.975629424404604
"281","ADAM15",525.39898079756,-0.453459893486837,0.310335022404566,-1.46119471135838,0.143962014006371,0.699311515974103
"282","ADAM17",348.031605885056,0.639652951385819,0.315407844429343,2.02801852485033,0.0425583573729268,0.467876924840718
"284","ADAM19",219.807036703149,0.406712184823707,0.524985697410936,0.774710981326698,0.43851046063691,0.911232766254374
"286","ADAM20",13.0796743460084,0.841490076107115,1.78160246485504,0.472322020600474,0.636696954854807,0.965750590868056
"287","ADAM20P1",23.4844238952022,0.495116436007916,1.30536340822925,0.379293944419316,0.704469595959758,0.976535452556812
"288","ADAM21",9.93498418472721,2.15256603616737,1.81700366092224,1.18467897586668,0.236144398092844,0.786998765840626
